ID_da_instituicao	Ano	Publicacoes
363100000000	2011	81
001300000993	2014	58
446900000000	2012	121
028700000003	2012	54
013200000006	2015	1
013200000006	2014	2
IW3C00000004	2012	30
293700000006	2013	12
293700000006	2012	12
003300000000	2011	1
833700000000	2015	24
833700000000	2014	18
833700000000	2011	23
833700000000	2010	22
529700000003	2015	7
529700000003	2011	10
000200000004	2014	91
000700000992	2010	111
309500000002	2010	34
010200000001	2011	86
000900000996	2015	80
071500000009	2014	34
071500000009	2011	40
071500000009	2010	39
489200000001	2014	7
489200000001	2013	3
489200000001	2012	8
489200000001	2011	17
489200000001	2010	11
J1HP00000001	2014	52
033800000001	2011	159
001900000005	2014	33
824300000004	2015	1
J3E400000000	2012	15
885300000006	2015	12
558800000009	2015	21
558800000009	2012	20
558800000009	2011	16
F3V900000009	2014	39
065800000000	2013	70
003200000998	2012	2
985600043360	2011	20
408800000006	2014	15
408800000006	2013	88
408800000006	2011	150
408800000006	2010	85
021100000005	2013	104
870100000004	2014	56
870100000004	2010	51
021700000006	2014	52
021700000006	2011	60
021700000006	2010	68
154100000008	2011	31
027200000006	2014	14
026200000008	2012	2
985600984440	2013	3
IYOT00000000	2013	2
IYOT00000000	2012	4
IYOT00000000	2010	1
985601226530	2012	6
160300000006	2012	1
572000000000	2015	96
572000000000	2013	28
572000000000	2012	34
572000000000	2011	26
572000000000	2010	28
IW1X00000000	2012	13
169700000007	2012	116
437300000000	2010	5
445200000000	2014	24
482000000000	2015	11
007100000000	2012	31
880000000000	2013	34
295500000009	2011	9
004700000006	2012	19
032300000004	2011	169
047000000007	2014	24
047000000007	2013	44
047000000007	2012	25
047000000007	2011	25
047000000007	2010	21
022900000008	2013	40
016900000003	2011	6
024800000002	2015	60
024800000002	2011	37
J7NE00000000	2011	1
754000000004	2012	32
754000000004	2011	27
754000000004	2010	31
J9IX00000004	2013	4
226100000009	2010	27
155200000008	2015	8
