ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
033600000008	UNIVERSIDADE FEDERAL DE VICOSA	31062	3112	31	33	9	19	23	21	7	6	7	0	20	8	13	11	177
000400000997	GEOFUSION	35061	3515	35	30	8	36	10	21	12	3	14	1	19	12	31	7	204
584200000007	UNIVERSIDADE DO ESTADO DA BAHIA	29032	2907	29	9	0	5	1	7	2	0	2	0	2	1	2	2	33
JLDY00000007	UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA	15020	1506	15	2	0	0	1	4	1	1	0	0	1	0	2	1	13
024800000002	INSTITUTO AGRONOMICO DE CAMPINAS	35032	3507	35	13	4	14	5	9	0	0	4	0	9	1	0	1	60
059100000002	UNIVERSIDADE FEDERAL DE ITAJUBA	31031	3107	31	4	3	1	16	9	0	11	0	0	1	10	0	6	61
749000000008	UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA	29024	2906	29	17	6	16	5	13	1	0	6	1	12	2	8	1	88
020700000008	PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA	41037	4110	41	7	3	21	17	4	0	7	4	1	12	5	24	10	115
884900000009	INSTITUTO EVANDRO CHAGAS	15007	1503	15	6	2	1	0	1	0	0	3	0	10	0	1	0	24
J2HF00000009	UNIVERSIDADE FEDERAL DO OESTE DO PARA	15002	1501	15	17	1	2	10	2	3	1	1	0	4	0	0	1	42
IZCF00000003	UNIVERSIDADE FEDERAL DO PAMPA	43031	4306	43	19	6	19	10	16	4	3	6	0	15	6	10	3	117
J4D600000002	UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO BRASILEIRA	23013	2302	23	4	2	0	1	6	1	3	0	0	2	1	2	4	26
