Ano	ID_do_estado	Nome_do_estado	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2015	32	Espírito Santo	3778068.0	31209167.0	49623728.0	15875889.0	100486849.0	19876295.0	120363145.0	3929911.0	2153272.17
2015	33	Rio de Janeiro	3013084.0	131275383.0	311579948.0	110528755.0	556397174.0	102753208.0	659136904.0	16550024.0	3149245.750000001
2015	35	São Paulo	26313402.0	356649626.0	1078991718.0	164042238.0	1625992350.0	313899085.0	1939890069.0	44396484.0	18562437.830000002
2015	41	Paraná	29394478.0	83079499.0	170342003.0	43811478.0	326627477.0	50332277.0	376959754.0	11163018.0	10397427.810000008
2015	42	Santa Catarina	12478639.0	60267379.0	108382881.0	28534680.0	209663572.0	39409232.0	249072792.0	6819190.0	8485729.38
2015	43	Rio Grande do Sul	31263739.0	77437248.0	175970735.0	48738529.0	333410225.0	48574919.0	381985147.0	11247972.0	15372248.129999995
2015	50	Mato Grosso do Sul	13644483.0	16375348.0	30673971.0	13622561.0	74316362.0	8765985.0	83082334.0	2651235.0	2565402.8300000005
2015	51	Mato Grosso	19322819.0	17124094.0	44689171.0	16461400.0	97597482.0	9820542.0	107418036.0	3265486.0	4400179.159999999
2015	52	Goiás	16106671.0	37806396.0	76120551.0	24539050.0	154572666.0	19059005.0	173631664.0	6610681.0	5890373.849999999
2015	53	Distrito Federal	626633	9996894	92376092	83294595	186294213	29318811	215613025	2914830	73971.05
